70,71,72,73,74,75,76,77,78,79;98,99,100,101,102,103,104,105,106
67,68,69,70,71,72;64,65,66,67,68,69,70,71,72
1,2,3,4;3,4,5,6
77,78,79,80,81;74,75,76,77,78,79
63,64,65,66,67,68,69,70,71,72,73,74,75;69,70,71,72,73,74,75,76
57,58,59,60,61,62,63,64;87,88,89,90,91
84,85,86,87,88,89,90,91,92,93;99,100,101,102,103,104,105,106,107,108,109,110
90,91,92,93,94,95,96,97,98;90,91,92,93,94,95,96,97
9,10,11;11,12,13
20,25,36,45,89;25,36,77,88,98
71,72,73,74,75,76,77,78,79;91,92,93,94,95,96,97,98,99,100,101,102,103,104
53,54,55,56,57,58,59,60,61,62,63,64;90,91,92,93,94,95
78,79,80,81,82,83,84,85,86,87;57,58,59,60,61
9,10,11;33,34,35
53,54,55,56,57,58,59,60,61,62,63,64;90,91,92,93,94,95,96,97,98,99,100,101,102,103
87,88,89,90,91,92,93,94,95,96,97,98,99,100;71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
98,99,100,101,102,103,104,105,106,107,108,109;89,90,91,92,93,94,95,96,97
63,64,65,66,67,68,69,70,71,72,73,74,75,76;94,95,96,97,98
51,52,53,54,55,56,57,58,59,60,61;62,63,64,65,66,67,68
61,62,63,64,65,66,67,68,69,70,71,72,73,74,75;56,57,58,59,60,61,62,63,64,65,66,67,68,69
